la plus; la plus; la plus; 
le plus;le plus;le plus;le plus;
avoir de fausses craintes;expression verbale figée;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de bonnes couleurs;expression verbale figée;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir la dalle;expression idiomatique;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir trop vu;collocation;cinq sens;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de l'estomac;expression idiomatique;corps humain;personnalité;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir que dalle;expression idiomatique;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir un sale caractère;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir du chien;expression idiomatique;personnalité;animaux;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de la bouteille;expression idiomatique;comportement;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir un foutu caractère;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir des notions;collocation;;;B2;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de la conversation;collocation;conversation;personnalité;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir le ballon;collocation;sport;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir l'esprit étroit;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir les coudées franches;expression idiomatique;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la langue trop longue;expression idiomatique;corps humain;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir l'esprit faux;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le vin mauvais;expression idiomatique;cuisine (aliments);sensations/sentiments;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le dos large;expression idiomatique;corps humain;personnalité;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le ventre creux;collocation;corps humain;sensations/sentiments;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le vin triste;expression idiomatique;cuisine (aliments);sensations/sentiments;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir un côté doux dingue;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la gueule enfarinée;expression idiomatique;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir une case vide;expression idiomatique;comportement;personnalité;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la réplique facile;collocation;personnalité;conversation;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir les poches pleines;expression idiomatique;argent;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
